Source \ Target,Collaboration,Event,Function,Grouping,Location,Path,Process,Role,Service,Assessment,Driver,Goal,Meaning,Outcome,Principle,Requirement,Stakeholder,Value,Capability,Course of Action,Resource,Value Stream,Business Actor,Business Interface,Business Object,Product,Application Component,Application Interface,Data Object,Artifact,Communication Network,Device,Distribution Network,Equipment,Facility,Material,Node,System Software,Technology Interface,Deliverable,Plateau,Work Package
Collaboration,Composition|Aggregation|Association|Specialization,Association,Assignment|Association,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Association,Realization|Association,Assignment|Association,Composition|Aggregation|Assignment|Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Composition|Aggregation|Association,Association,Association,Association,Composition|Aggregation|Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Composition|Aggregation|Association,Association,Association,Association
Event,Association,Composition|Aggregation|Association|Specialization,Association|Flow|Triggering,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Association,Association,Association|Flow|Triggering,Association,Association|Flow|Triggering,Association,Association,Influence|Association,Association,Association,Association,Realization|Influence|Association,Association,Association,Association,Association,Association,Association,Association,Association,Access|Association,Association,Association,Association,Access|Association,Access|Association,Association,Association,Association,Association,Association,Access|Association,Association,Association,Association,Access|Association,Association|Triggering,Association|Flow|Triggering
Function,Association,Association|Flow|Triggering,Composition|Aggregation|Association|Specialization|Flow|Triggering,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Association,Association,Composition|Aggregation|Association|Flow|Triggering,Association,Realization|Association,Association,Association,Influence|Association,Association,Association,Association,Realization|Influence|Association,Association,Association,Realization|Association,Realization|Association,Association,Realization|Association,Association,Association,Access|Association,Association,Association,Association,Access|Association,Access|Association,Association,Association,Association,Association,Association,Access|Association,Association,Association,Association,Access|Association,Association,Association
Grouping,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering
Location,Composition|Aggregation|Association,Composition|Aggregation|Association,Composition|Aggregation|Association,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Composition|Aggregation|Association|Specialization,Composition|Aggregation|Association,Composition|Aggregation|Association,Composition|Aggregation|Association,Composition|Aggregation|Association,Composition|Aggregation|Association,Composition|Aggregation|Association,Composition|Aggregation|Association,Composition|Aggregation|Association,Composition|Aggregation|Association,Composition|Aggregation|Association,Composition|Aggregation|Association,Composition|Aggregation|Association,Composition|Aggregation|Association,Composition|Aggregation|Association,Composition|Aggregation|Association,Composition|Aggregation|Association,Composition|Aggregation|Association,Composition|Aggregation|Association,Composition|Aggregation|Association,Composition|Aggregation|Association,Composition|Aggregation|Association,Composition|Aggregation|Association,Composition|Aggregation|Association,Composition|Aggregation|Association,Composition|Aggregation|Association,Composition|Aggregation|Association,Composition|Aggregation|Association,Composition|Aggregation|Association,Composition|Aggregation|Association,Composition|Aggregation|Association,Composition|Aggregation|Association,Composition|Aggregation|Association,Composition|Aggregation|Association,Composition|Aggregation|Association,Composition|Aggregation|Association,Composition|Aggregation|Association,Composition|Aggregation|Association
Path,Association,Association,Association,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Association,Composition|Aggregation|Realization|Association|Specialization,Association,Association,Association,Association,Association,Influence|Association,Association,Association,Association,Realization|Influence|Association,Association,Association,Association,Association,Realization|Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association
Process,Association,Association|Flow|Triggering,Composition|Aggregation|Association|Flow|Triggering,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Association,Association,Composition|Aggregation|Association|Specialization|Flow|Triggering,Association,Realization|Association,Association,Association,Influence|Association,Association,Association,Association,Realization|Influence|Association,Association,Association,Realization|Association,Realization|Association,Association,Realization|Association,Association,Association,Access|Association,Association,Association,Association,Access|Association,Access|Association,Association,Association,Association,Association,Association,Access|Association,Association,Association,Association,Access|Association,Association,Association
Role,Association,Assignment|Association,Assignment|Association,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Association,Realization|Association,Assignment|Association,Composition|Aggregation|Assignment|Association|Specialization,Association,Association,Association,Influence|Association,Association,Association,Association,Realization|Influence|Association,Association,Association,Association,Association,Association,Association,Association,Composition|Aggregation|Association,Association,Association,Association,Composition|Aggregation|Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Composition|Aggregation|Association,Association,Association,Association
Service,Serving|Association,Association,Serving|Association,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Association,Serving|Association,Serving|Association,Serving|Association,Composition|Aggregation|Association|Specialization|Flow|Triggering,Association,Association,Influence|Association,Association,Association,Association,Realization|Influence|Association,Association,Association,Association,Association,Association,Association,Serving|Association,Serving|Association,Access|Association,Association,Serving|Association,Serving|Association,Access|Association,Access|Association,Serving|Association,Serving|Association,Serving|Association,Serving|Association,Serving|Association,Access|Association,Serving|Association,Serving|Association,Serving|Association,Access|Association,Association,Association
Assessment,Association,Association,Association,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Association,Association,Association,Association,Association,Composition|Aggregation|Influence|Association|Specialization,Influence|Association,Influence|Association,Influence|Association,Influence|Association,Influence|Association,Influence|Association,Influence|Association,Influence|Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association
